name,description,var_type,unit,count,count_as_time,offset
LRtempR,LR tire right surface temperature,Float,C,1,0,1003
LRtempCL,LR tire left carcass temperature,Float,C,1,0,1007
LRtempCM,LR tire middle carcass temperature,Float,C,1,0,1011
LRtempCR,LR tire right carcass temperature,Float,C,1,0,1015
LRwearL,LR tire left percent tread remaining,Float,%,1,0,1019
LRwearM,LR tire middle percent tread remaining,Float,%,1,0,1023
LRwearR,LR tire right percent tread remaining,Float,%,1,0,1027
HFshockDefl,HF shock deflection,Float,m,1,0,1031
HFshockVel,HF shock velocity,Float,m/s,1,0,1035
LRshockDefl,LR shock deflection,Float,m,1,0,1039
LRshockVel,LR shock velocity,Float,m/s,1,0,1043
RRshockDefl,RR shock deflection,Float,m,1,0,1047
RRshockVel,RR shock velocity,Float,m/s,1,0,1051
LFshockDefl,LF shock deflection,Float,m,1,0,1055
LFshockVel,LF shock velocity,Float,m/s,1,0,1059
RFshockDefl,RF shock deflection,Float,m,1,0,1063
RFshockVel,RF shock velocity,Float,m/s,1,0,1067
LFrideHeight,LF ride height,Float,m,1,0,1071
RFrideHeight,RF ride height,Float,m,1,0,1075
LRrideHeight,LR ride height,Float,m,1,0,1079
RRrideHeight,RR ride height,Float,m,1,0,1083
CFSRrideHeight,Center front splitter ride height,Float,m,1,0,1087
